kode_produk,HNA,HET,UOM,berat_gram,panjang_cm,lebar_cm,tinggi_cm,is_life_saving,volume_cm3,kategori_pengiriman
COMP092,871250,1176187.5,BOX,0.67,24,9,9,0,"2,058",3
BIOI003,4046232.9,5462414.5,BOX,1.02,23,22,9,0,"4,265",3
RAPI001,2507500,3385125,BOX,0.1,14,7,6,0,588,3
RAPI002,2507500,3385125,BOX,0.3,7,14,6,0,588,3
RAPI003,5057500,6827625,BOX,4.97,35,26,14,0,"12,336",3
STER010,1123630.3,1516900.65,Ea,2.5,20,10,10,0,"2,000",3
STER017,2163424.25,2920622.95,Ea,3.9,21,21,25,0,"11,025",3
BOWI002,2616369.7,3532099.35,BOX,3.8,32,24,15,0,"11,520",3
LEAD001,110500,149175,Ea,0.1,12,55,1,0,858,3
SUPE001,3315000,4475250,BOX,0.4,13,13,10,0,"1,690",3
ETOC001,4760000,6426000,BOX,0.2,20,19,19,0,"7,220",3
GASP003,1062500,1434375,BOX,0.13,0,17,23,0,24,3
ATTE001,4301000,5806350,BOX,0.1,19,13,8,0,"2,102",3
LEAD003,153000,206550,ROL,140,14,4,3,0,405,3
STER024,2156438.1,2911191.35,ROL,"1,062.00",43,22,43,0,"40,205",3
STER026,888424.25,1199372.95,ROL,"1,062.00",43,22,43,0,"40,205",3
CHEM001,419050,565717.5,BOX,100,13,14,2,0,364,3
ETOC002,5610000,7573500,BOX,"2,354.00",19,22,22,0,"9,391",3
INEX001,2890000,3901500,BOX,976,2,1,1,0,"1,975",3
CREP002,3060000,4131000,CS,"16,279.00",101,58,9,0,"52,267",3
PLAS006,382500,516375,ROL,3.32,27,14,29,0,"11,042",3
STEA002,1857233,2507264.55,BOX,700,17,24,13,0,"5,304",3
STEA003,291550,393592.5,BAG,700,23,17,0,0,38,3
MINI003,26435000,35687250,UNT,"1,680.00",28,21,13,0,"7,644",3
VHTR003,1495150,2018452.5,BAG,156,25,0,25,0,"2,203",3
CLAS001,2380000,3213000,Ea,167.8,18,36,5,0,"3,053",3
CLAS004,2422500,3270375,Ea,105.7,36,18,5,0,"3,053",3
CLAS006,2422500,3270375,Ea,105.7,36,18,5,0,"3,053",3
CLAS011,2380000,3213000,Ea,167.8,18,36,5,0,"3,053",3
CLAS012,2380000,3213000,Ea,167.8,18,36,5,0,"3,053",3
CLAS002,2380000,3213000,Ea,167.8,18,36,5,0,"3,053",3
STER021,764150,1031602.5,BOX,20,15,12,7,0,"1,260",3
STER022,764150,1031602.5,BOX,20,15,12,7,0,"1,260",3
TRAN010,687225,927753.75,BOX,10,25,17,3,0,"1,275",3
SOFT006,137887,186147.45,Ea,100,10,6,5,0,300,3
TRAN011,545700,736695,BOX,10,15,10,6,0,900,3
TEGA001,621350,838822.5,BOX,10,20,14,4,0,"1,120",3
TRAN012,1050600,1418310,BOX,30,16,15,4,0,960,3
TRAN013,1182350,1596172.5,BOX,20,25,15,4,0,"1,500",3
ANTI027,1700000,2295000,BOX,500,43,10,2,0,850,3
ANTI028,2507500,3385125,BOX,"3,084.00",55,21,13,0,"15,257",3
ANTI029,4462500,6024375,BOX,"1,500.00",90,12,7,0,"7,560",3
