KODE_CABANG,CUSTOMER_NUMBER,ALAMAT,LATITUDE,LONGITUDE,STATE,CITY,PROVINCE,ZIP_CODE,CHANNEL,SHIP_METHOD_CODE,SHIP_METHOD_DESC,DELIVERY_AREA_GROUP
JK2,125912,PASAR PRAMUKA LT DASAR AKS 159 PS.PRAMUKA,-6.137293,106.8416678,PAL MERIAM,JAKARTA,DKI JAKARTA,13140,DRUG STORE,B-DR-10,BASE 10,DALAM KOTA
JK2,125793,JL. SULTAN AGUNG NO. 67 SETIA BUDI PASAR MANGGIS,-6.1667811,106.9122233,MANGGARAI,JAKARTA,DKI JAKARTA,12850,HOSPITAL PRIVATE (PVT),B-DR-05,BASE 05,DALAM KOTA
JK2,149626,JLN. BOULEVARD RAYA LB I NO. 20 KELAPA GADING TIMUR-KELAPA GADING,-6.22033,106.9248072,KELAPA GADING TIMUR,JAKARTA,DKI JAKARTA,14240,PHARMACY REGULAR (REG),P-DR-03,PERI 03,PINGGIRAN KOTA
JK2,149671,DANAU INDAH BARAT A-2/6 SUNTER SUNTER JAYA,-6.1812491,106.8927244,SUNTER JAYA,JAKARTA,DKI JAKARTA,14350,PHARMACY REGULAR (REG),B-DR-11,BASE 11,DALAM KOTA
JK2,149755,JL. PADEMANGAN IV NO. 257 A PADEMANGAN PADEMANGAN TIMUR,-6.1384,106.8653973,PADEMANGAN TIMUR,JAKARTA,DKI JAKARTA,14410,PHARMACY REGULAR (REG),B-DR-09,BASE 09,DALAM KOTA
JK2,149676,JL. TARIAN RAYA TIMUR B IV/6 RT 010/010 PEGANGSAAN DUA - KELAPA GADING,-6.2220654,106.9078217,KELAPA GADING TIMUR,JAKARTA,DKI JAKARTA,14240,PHARMACY REGULAR (REG),B-DR-07,BASE 07,DALAM KOTA
JK2,125975,JL.PERUMNAS RAYA NO.9A KLENDER DUREN SAWIT KLENDER,-6.2196399,106.8516353,DUREN SAWIT,JAKARTA,DKI JAKARTA,13440,PHARMACY REGULAR (REG),B-DR-02,BASE 02,DALAM KOTA
JK2,149636,JL. KAYU PUTIH I BLOK B NO. 5 RT.010 RW.007 PULOGADUNG - PULO GADUNG,-6.1812491,106.8927244,PULO GADUNG,JAKARTA,DKI JAKARTA,13260,PHARMACY REGULAR (REG),B-DR-07,BASE 07,DALAM KOTA
JK2,149637,JL. DANAU SUNTER UTARA BLK. E/4C SUNTER AGUNG SUNTER AGUNG,-6.13839599999999,106.8653973,SUNTER AGUNG,JAKARTA,DKI JAKARTA,14350,PHARMACY CHAIN (CHN),B-DR-11,BASE 11,DALAM KOTA
JK2,125764,JL DERMAGA BLOK K3/1 KLENDER KLENDER KLENDER,-6.2220654,106.9078217,DUREN SAWIT,JAKARTA,DKI JAKARTA,13440,PHARMACY REGULAR (REG),B-DR-02,BASE 02,DALAM KOTA
JK2,125837,JL. MASJID AL'BARKAH 21 TEBET MANGGARAI SELATAN,-6.2196399,106.8516353,MANGGARAI,JAKARTA,DKI JAKARTA,12850,PHARMACY REGULAR (REG),B-DR-05,BASE 05,DALAM KOTA
JK2,125267,JALAN TEBET BARAT DALAM RAYA NO. 118 RT 006/ RW 004 TEBET BARAT - TEBET,-6.2413729,106.8473462,TEBET BARAT,JAKARTA,DKI JAKARTA,12810,PHARMACY CHAIN (CHN),B-DR-05,BASE 05,DALAM KOTA
JK2,125726,JL.DEWI SARTIKA NO 200 CAWANG KRAMAT JATI,-6.2561053,106.8622043,KRAMATJATI,JAKARTA,DKI JAKARTA,13510,HOSPITAL GOVERNMENT (GVM),P-DR-01,PERI 01,PINGGIRAN KOTA
JK2,125741,JL MANGGARAI SELATAN I/07 JATINEGARA MANGGARAI SELATAN,-6.2159651,106.8556413,MANGGARAI,JAKARTA,DKI JAKARTA,12850,PHARMACY REGULAR (REG),B-DR-05,BASE 05,DALAM KOTA
